time, amp
0.021333,-72.881470
0.042667,-27.125876
0.064000,-26.293217
0.085333,-31.020541
0.106667,-30.472552
0.128000,-31.449510
0.149333,-32.847679
0.170667,-40.656480
0.192000,-43.533447
0.213333,-44.879290
0.234667,-32.840127
0.256000,-28.620956
0.277333,-28.045446
0.298667,-32.523094
0.320000,-38.969406
0.341333,-43.130792
0.362667,-47.491471
0.384000,-43.218196
0.405333,-36.823639
0.426667,-32.187885
0.448000,-31.342013
0.469333,-30.879996
0.490667,-31.719654
0.512000,-34.751651
0.533333,-36.165997
0.554667,-39.330326
0.576000,-42.441586
0.597333,-45.433085
0.618667,-43.428198
0.640000,-45.253483
0.661333,-43.215970
0.682667,-43.233255
0.704000,-43.102620
0.725333,-43.896667
0.746667,-44.997366
0.768000,-45.084146
0.789333,-44.589820
0.810667,-47.985603
0.832000,-46.029276
0.853333,-40.357456
0.874667,-27.723155
0.896000,-23.589728
0.917333,-25.892815
0.938667,-25.271417
0.960000,-23.997354
0.981333,-26.187125
1.002667,-28.404259
1.024000,-27.200158
1.045333,-26.975761
1.066667,-25.340413
1.088000,-25.770429
1.109333,-26.492082
1.130667,-26.628433
1.152000,-25.885321
1.173333,-26.524233
1.194667,-27.884700
1.216000,-28.601446
1.237333,-27.687280
1.258667,-33.586171
1.280000,-36.826379
1.301333,-38.626749
1.322667,-40.357202
1.344000,-33.915189
1.365333,-28.968092
1.386667,-27.528031
1.408000,-30.818805
1.429333,-30.351937
1.450667,-34.644942
1.472000,-33.846102
1.493333,-34.516459
1.514667,-33.576532
1.536000,-38.075229
1.557333,-32.049116
1.578667,-27.012219
1.600000,-25.243936
1.621333,-26.336533
1.642667,-27.694390
1.664000,-30.410390
1.685333,-32.271202
1.706667,-38.715154
1.728000,-37.922342
1.749333,-39.697729
1.770667,-31.801966
1.792000,-26.200125
1.813333,-26.345567
1.834667,-24.968669
1.856000,-25.487989
1.877333,-25.200642
1.898667,-25.471283
1.920000,-32.389452
1.941333,-32.159659
1.962667,-31.679709
1.984000,-36.869294
2.005333,-44.910922
2.026667,-44.797940
2.048000,-42.423878
2.069333,-43.698579
